gym_name,location,membership_cost,amenities,website
Flex Nation 46,"Sydney, Australia",$51,"HIIT, Yoga, Juice Bar, Massage",https://www.flexnation46.com
AlphaFit 80,"Sydney, Australia",$75,"Sauna, Group Classes, Swimming Pool",https://www.alphafit80.com
Flex Nation 6,"Dubai, UAE",AED 480,"Zumba, Weights, Massage, Personal Training, Boxing, Swimming Pool",https://www.flexnation6.com
Pulse Fitness 15,"Cape Town, South Africa",R1133,"Weights, Juice Bar, CrossFit, Zumba, Showers",https://www.pulsefitness15.com
AlphaFit 46,"Lagos, Nigeria",₦39413,"Cardio, Group Classes, Sauna, CrossFit",https://www.alphafit46.com
Core Strength 1,"London, UK",£54,"Boxing, Yoga, Sauna",https://www.corestrength1.com
Iron Paradise 27,"Dubai, UAE",AED 376,"Personal Training, Cardio, Juice Bar, Zumba",https://www.ironparadise27.com
AlphaFit 90,"Los Angeles, USA",$62,"Showers, Juice Bar, Zumba, CrossFit, Group Classes, Cardio",https://www.alphafit90.com
AlphaFit 80,"Cape Town, South Africa",R1131,"Yoga, Personal Training, CrossFit",https://www.alphafit80.com
Core Strength 33,"Toronto, Canada",$40,"Zumba, Swimming Pool, Boxing, Group Classes",https://www.corestrength33.com
Fit Republic 2,"Lagos, Nigeria",₦20450,"Juice Bar, Yoga, Massage, Sauna, Swimming Pool",https://www.fitrepublic2.com
Pulse Fitness 13,"New York, USA",$89,"Group Classes, Massage, Personal Training",https://www.pulsefitness13.com
AlphaFit 20,"Berlin, Germany",$85,"Swimming Pool, Cardio, Sauna, Massage, Yoga",https://www.alphafit20.com
AlphaFit 100,"Los Angeles, USA",$94,"CrossFit, Massage, Juice Bar",https://www.alphafit100.com
Core Strength 69,"Sydney, Australia",$76,"Cardio, Group Classes, Showers, Sauna",https://www.corestrength69.com
Beast Mode 39,"Berlin, Germany",$61,"Boxing, HIIT, Personal Training",https://www.beastmode39.com
Fit Republic 16,"Nairobi, Kenya",$73,"Weights, HIIT, Boxing, Personal Training, Yoga, Zumba",https://www.fitrepublic16.com
PowerCore 2,"Berlin, Germany",$61,"Group Classes, Personal Training, Boxing, Showers, Zumba, Juice Bar",https://www.powercore2.com
Pulse Fitness 15,"Dubai, UAE",AED 333,"Sauna, Weights, Boxing, Zumba",https://www.pulsefitness15.com
Beast Mode 97,"Toronto, Canada",$87,"Personal Training, Swimming Pool, Massage, Sauna",https://www.beastmode97.com
Pulse Fitness 86,"Nairobi, Kenya",$88,"Group Classes, Boxing, Cardio, CrossFit",https://www.pulsefitness86.com
PowerCore 27,"Los Angeles, USA",$30,"HIIT, Swimming Pool, Cardio, Personal Training, Massage",https://www.powercore27.com
Flex Nation 21,"London, UK",£25,"CrossFit, Juice Bar, Zumba, Group Classes, Personal Training, Yoga",https://www.flexnation21.com
PowerCore 10,"Sydney, Australia",$71,"Sauna, HIIT, Yoga",https://www.powercore10.com
Beast Mode 97,"Dubai, UAE",AED 376,"HIIT, Cardio, Sauna, Boxing",https://www.beastmode97.com
Core Strength 76,"Dubai, UAE",AED 464,"Juice Bar, Yoga, Cardio, Group Classes, Showers, HIIT",https://www.corestrength76.com
Titan Gym 27,"Cape Town, South Africa",R795,"Weights, Yoga, Juice Bar",https://www.titangym27.com
Iron Paradise 35,"Lagos, Nigeria",₦38244,"HIIT, Zumba, Personal Training, Juice Bar",https://www.ironparadise35.com
Fit Republic 40,"Berlin, Germany",$47,"Showers, HIIT, Sauna, Juice Bar",https://www.fitrepublic40.com
